linkedinID,name_lnkd,industry_lnkd,type_lnkd,size_lnkd,founded_lnkd,website_lnkd,hqcity_lnkd,hqstate_lnkd,hqzip_lnkd,hqcountry_lnkd,specialties_lnkd,description_lnkd
ethicon-endo-surgery,"Ethicon, Inc.",Medical Devices,Public Company,1001-5000 employees,,http://www.ethicon.com,Cincinnati,OH,45242,United States,"Professional Education, Surgical Solutions, MIP Adoption","At Ethicon, we believe amazing things happen when you bring people together with a common purpose. We are committed to help advance surgical care so that more patients live longer, more fulfilling lives. We are driven to develop meaningful solutions, enabling our customers to provide the treatment and positive outcomes patients deserve. For more than 80 years, we have provided healthcare professionals with value-driven, best-to-market solutions. The videos within our playlists display the use of Ethicon medical devices in a variety of specialties. This channel allows healthcare professionals to see how Ethicon products provide a better surgery for a better world. Learn more about our company, products, procedure solutions, and latest advancements at www.Ethicon.com."
fresenius-kabi-usa,Fresenius Kabi USA,Hospital & Health Care,Public Company,1001-5000 employees,1912,http://www.fresenius-kabi.us,,,,,,"About Fresenius Kabi USA Caring for life Fresenius Kabi is a global health care company that specializes in lifesaving medicines and medical technologies for infusion, transfusion and clinical nutrition. Our expansive portfolio of products and global network of science and manufacturing centers provide essential support for the care of critical and chronically ill patients. We are part of Fresenius SE, a health care group with more than 100 years of experience in pharmaceuticals, medical devices and life sciences. Our employees _ more than 30,000 worldwide _ develop and deliver injectable pharmaceuticals and infusion systems; blood collection, transfusion and cell technologies; and essential nutrients for parenteral nutrition. We have special expertise in medicines for oncology, infection, anesthesia, analgesia and critical care. Our products are used in all sites of care _ from hospitals and clinics to blood and plasma centers, and increasingly in patientsê homes. Whether you work for us, buy from us, partner with us, or invest in us, you will come to know that caring is at the core of everything we do. Our purpose is to put lifesaving medicines and technologies in the hands of people who care for patients, and to find answers to the challenges they face every day."
general-dynamics-land-systems,General Dynamics Corporation,Defense & Space,Public Company,"10,001+ employees",,http://www.gd.com,,,,,"Military systems., Business jets","General Dynamics is a market leader in business aviation; land and expeditionary combat vehicles and systems, armaments, and munitions; shipbuilding and marine systems; and mission-critical information systems and technologies. The company employs approximately 91,700 people worldwide."
goodyear,The Goodyear Tire & Rubber Company,Automotive,Public Company,"10,001+ employees",1898,http://www.goodyear.com,Akron,OH,44316,United States,"Automotive, Aviation, Commercial, Consumer, Motorcycle, Earthmover, Retread, Careers","Goodyear is one of the world's largest tire companies, with operations in most regions of the world. Together with its subsidiaries and joint ventures, Goodyear develops, markets and sells tires for most applications. Goodyear operates 50 plants in 22 countries, with its world headquarters located in Akron, OH, USA."
hanley-flight-&-zimmerman,"Hanley, Flight & Zimmerman",Law Practice,Partnership,11-50 employees,2002,http://www.hfzlaw.com,,,,,"Intellectual Property, Patent Prosecution, Licensing, Trademarks, Due Diligence, Manage Patent Portfolios, Foreign and Domestic Patents, Patent Preparation, Electrical, Mechanical, Computer Engineering patents","We are a boutique IP law firm located in the heart of Chicago, specializing in United States and foreign patent prosecution and counseling. Our team of practitioners includes many individuals having years of industry experience as engineers and inventors prior to becoming patent attorneys. A combination of significant real world engineering experience and legal experience results in a highly focused and skilled team of practitioners who provide services to numerous Fortune 500 technology companies."
hbk-engineering-llc,"HBK Engineering, LLC",Civil Engineering,Privately Held,201-500 employees,1999,http://hbkengineering.com,Chicago,IL,60607,United States,"Engineering, Utilities, Design","HBK Engineering, LLC is a fully licensed, professional engineering design firm headquartered in downtown Chicago providing civil, environmental, structural, electrical, subsurface utility, construction support services and permitting. Since our founding in 1998, we have built a reputation for outstanding, accurate service in extremely time-sensitive environments which led to our East Coast expansion and subsequent licensure to practice in 28 states. Our list of satisfied clients includes utility companies, construction firms, and municipalities from the Midwest to the East Coast. All projects receive the attention of our staff of Licensed Professionals, supported by our outstanding technical specialists, logistical and administrative project coordinators and consultants. HBK is a proven leader for the design, coordination, permitting and construction support of utility projects within urban centers, such as Chicago and Philadelphia. We have successfully performed engineering for a complete spectrum of utility infrastructure projects, including but not limited to, gas, electric, water, sewer and telecommunication applications. HBKÍs goal to push to the forefront of the utility industry has been accomplished with the help of the firmÍs progressive delivery of subsurface utility engineering (SUE) methodology including surface geophysics, 3D Scanners, surveying technology including the use of survey-grade Global Positioning Systems (GPS) technology and Laser Scanning, non-invasive excavation techniques, CADD systems and Geographical Information Systems (GIS) mapping."
hbk-engineering-llc,"HBK Engineering, LLC",Civil Engineering,Privately Held,201-500 employees,1999,http://hbkengineering.com,Chicago,IL,60607,United States,"Engineering, Utilities, Design","HBK Engineering, LLC is a fully licensed, professional engineering design firm headquartered in downtown Chicago providing civil, environmental, structural, electrical, subsurface utility, construction support services and permitting. Since our founding in 1998, we have built a reputation for outstanding, accurate service in extremely time-sensitive environments which led to our East Coast expansion and subsequent licensure to practice in 28 states. Our list of satisfied clients includes utility companies, construction firms, and municipalities from the Midwest to the East Coast. All projects receive the attention of our staff of Licensed Professionals, supported by our outstanding technical specialists, logistical and administrative project coordinators and consultants. HBK is a proven leader for the design, coordination, permitting and construction support of utility projects within urban centers, such as Chicago and Philadelphia. We have successfully performed engineering for a complete spectrum of utility infrastructure projects, including but not limited to, gas, electric, water, sewer and telecommunication applications. HBKês goal to push to the forefront of the utility industry has been accomplished with the help of the firmês progressive delivery of subsurface utility engineering (SUE) methodology including surface geophysics, 3D Scanners, surveying technology including the use of survey-grade Global Positioning Systems (GPS) technology and Laser Scanning, non-invasive excavation techniques, CADD systems and Geographical Information Systems (GIS) mapping."
husco-international,HUSCO International,Mechanical or Industrial Engineering,Privately Held,1001-5000 employees,1985,http://www.huscointl.com/,Waukesha,WI,53188,United States,,"HUSCO International, Inc. is a global leader in the development and manufacture of hydraulic and electrohydraulic controls for off-highway applications. HUSCO assists OEM engineers throughout the product development process. HUSCO provides support from the conceptual stage to the production stage of product development to maximize product value and performance. With facilities in North America, Europe and Asia, HUSCO is positioned to meet your hydraulic power control application needs. HUSCO Automotive, a subsidiary of HUSCO International, Inc. caters to the rigorous demands of the automotive market. With applications ranging from high performance suspension systems to engine management controls, our products are comprised primarily of hydraulic or pneumatic solenoid valves and actuators used in a wide range of mediums. HUSCO AutomotiveÍs success is due to our extensive product development capabilities and world class and highly cost-effective manufacturing facilities. Working closely with our customers, we provide system development support while optimizing our products and manufacturing processes for the particular application. A clear mission, intelligent strategy and strong corporate values establish the foundation for our success. But it is our people and culture that differentiate us from our competition and give HUSCO a distinct competitive advantage. We employ a highly talented workforce and provide them with a collaborative and challenging environment."
husco-international,HUSCO International,Mechanical or Industrial Engineering,Privately Held,1001-5000 employees,1985,http://www.huscointl.com/,Waukesha,WI,53188,United States,,"HUSCO International, Inc. is a global leader in the development and manufacture of hydraulic and electrohydraulic controls for off-highway applications. HUSCO assists OEM engineers throughout the product development process. HUSCO provides support from the conceptual stage to the production stage of product development to maximize product value and performance. With facilities in North America, Europe and Asia, HUSCO is positioned to meet your hydraulic power control application needs. HUSCO Automotive, a subsidiary of HUSCO International, Inc. caters to the rigorous demands of the automotive market. With applications ranging from high performance suspension systems to engine management controls, our products are comprised primarily of hydraulic or pneumatic solenoid valves and actuators used in a wide range of mediums. HUSCO Automotiveês success is due to our extensive product development capabilities and world class and highly cost-effective manufacturing facilities. Working closely with our customers, we provide system development support while optimizing our products and manufacturing processes for the particular application. A clear mission, intelligent strategy and strong corporate values establish the foundation for our success. But it is our people and culture that differentiate us from our competition and give HUSCO a distinct competitive advantage. We employ a highly talented workforce and provide them with a collaborative and challenging environment."
hydraforce-inc.,HydraForce,Mechanical or Industrial Engineering,Privately Held,1001-5000 employees,1985,http://www.hydraforce.com,Lincolnshire,IL,60069,United States,"Hydraulic Cartridge Valves, Relief Valves, Hydraulic Fluid Power, Hydraulics, Flow and Pressure Control Valves, Proportional Valves, Solenoid Valves, Manifolds, Hydraulic Integrated Circuits, Electrohydraulics, Directional Control Valves, Check Valves, Pilot Valves","HydraForce was founded near Chicago by several partners who saw the mobile equipment industryês need for high-quality, cost-effective, space-saving cartridge valves delivered in a timely and responsive manner. HydraForce now offers one of the most comprehensive lines of hydraulic cartridge valves, custom manifolds and electrohydraulic control systems for the mobile and industrial equipment markets. We design and manufacture high performance valves for flow rates of 0.4 to 530 lpm (0.1 to 140 gpm) and pressures up to 420 bar (6000 psi). Our custom manifolds offer no-leak, screw-in componentry, fast and easy valve removal and replacement, and reduced plumbing when compared to traditional hydraulic systems. We also offer a robust line of controllers that are rugged, reliable, and optimized for electro-hydraulic system integration. We provide custom solutions for everything from tractors and harvesters to front loaders, fork lifts, snow plows,power train, marine and alternative energy applications. With proprietary innovations like the i-Design hydraulic circuit design manifold tool, clients are directly involved in designing their own custom manifold. Once a design is approved, rapid prototyping and the most advanced equipment and precise processes for machining, assembly and testing are used to deliver your product. HydraForce continues to be a privately held company as it now has manufacturing locations in North America, Europe and Asia and 120 stocking distributors."
